Date,Open,High,Low,Close,Volume
12/06/2021,"2,871.48","2,887.03","2,812.94","2,875.93","1,109,885"
12/03/2021,"2,889.91","2,904.26","2,823.00","2,850.41","1,334,374"
12/02/2021,"2,836.48","2,893.50","2,819.64","2,875.53","1,062,535"
12/01/2021,"2,884.25","2,929.98","2,830.00","2,832.36","1,427,289"
11/30/2021,"2,909.01","2,932.57","2,841.32","2,849.04","2,079,526"
11/29/2021,"2,885.97","2,937.24","2,885.97","2,922.28","1,313,806"
11/26/2021,"2,900.31","2,905.94","2,849.71","2,856.12","849,606"
11/24/2021,"2,927.00","2,940.00","2,903.98","2,934.35","823,203"
11/23/2021,"2,942.26","2,953.88","2,897.79","2,935.14","906,657"
11/22/2021,"3,002.84","3,014.89","2,940.11","2,941.57","1,231,385"
11/19/2021,"3,020.00","3,037.00","2,997.75","2,999.05","989,148"
11/18/2021,"2,982.92","3,032.20","2,979.97","3,014.18","1,334,120"
11/17/2021,"2,984.58","2,992.52","2,971.26","2,981.24","764,541"
11/16/2021,"2,983.41","2,996.65","2,967.00","2,981.52","862,743"
11/15/2021,"3,000.00","3,009.54","2,973.05","2,987.76","812,367"
11/12/2021,"2,956.63","2,997.19","2,929.08","2,992.91","852,383"
11/11/2021,"2,942.14","2,970.05","2,933.89","2,934.96","623,155"
11/10/2021,"2,960.20","2,974.00","2,906.50","2,932.52","1,135,416"
11/09/2021,"2,994.92","3,007.57","2,950.14","2,984.97","843,778"
11/08/2021,"3,000.00","3,020.69","2,982.40","2,987.03","919,407"
